year,latitude,longitude,aerosol
1850,-89.5,269.4,0.0212
1850,-89.5,270.6,0.0212
1850,-89.5,271.9,0.0212
1850,-89.5,273.1,0.0212
1850,-89.5,274.4,0.0212
1850,-89.5,275.6,0.0212
1850,-89.5,276.9,0.0212
1850,-89.5,278.1,0.0212
1850,-89.5,279.4,0.0212
1850,-89.5,280.6,0.0212
1850,-89.5,281.9,0.0212
1850,-89.5,283.1,0.0212
1850,-89.5,284.4,0.0212
1850,-89.5,285.6,0.0212
1850,-89.5,286.9,0.0212
1850,-89.5,288.1,0.0212
1850,-89.5,289.4,0.0212
1850,-89.5,290.6,0.0212
1850,-89.5,291.9,0.0212
1850,-89.5,293.1,0.0212
1850,-89.5,294.4,0.0212
1850,-89.5,295.6,0.0212
1850,-89.5,296.9,0.0212
1850,-89.5,298.1,0.0212
1850,-89.5,299.4,0.0212
1850,-89.5,300.6,0.0212
1850,-89.5,301.9,0.0212
1850,-89.5,303.1,0.0212
1850,-89.5,304.4,0.0212
1850,-89.5,305.6,0.0212
1850,-89.5,306.9,0.0212
1850,-89.5,308.1,0.0212
1850,-89.5,309.4,0.0212
1850,-89.5,310.6,0.0212
1850,-89.5,311.9,0.0212
1850,-89.5,313.1,0.0212
1850,-89.5,314.4,0.0212
1850,-89.5,315.6,0.0212
1850,-89.5,316.9,0.0212
1850,-89.5,318.1,0.0212
1850,-89.5,319.4,0.0212
1850,-89.5,320.6,0.0212
1850,-89.5,321.9,0.0212
1850,-89.5,323.1,0.0212
1850,-89.5,324.4,0.0212
1850,-89.5,325.6,0.0212
1850,-89.5,326.9,0.0212
1850,-89.5,328.1,0.0212
1850,-89.5,329.4,0.0212
1850,-89.5,330.6,0.0212
1850,-89.5,331.9,0.0212
1850,-89.5,333.1,0.0212
1850,-89.5,334.4,0.0212
1850,-89.5,335.6,0.0212
1850,-89.5,336.9,0.0212
1850,-89.5,338.1,0.0212
1850,-89.5,339.4,0.0212
1850,-89.5,340.6,0.0212
1850,-89.5,341.9,0.0212
1850,-89.5,343.1,0.0212
1850,-89.5,344.4,0.0212
1850,-89.5,345.6,0.0212
1850,-89.5,346.9,0.0212
1850,-89.5,348.1,0.0212
1850,-89.5,349.4,0.0212
1850,-89.5,350.6,0.0221
1850,-89.5,351.9,0.0221
1850,-89.5,353.1,0.0221
1850,-89.5,354.4,0.0221
1850,-89.5,355.6,0.0221
1850,-89.5,356.9,0.0221
1850,-89.5,358.1,0.0221
1850,-89.5,359.4,0.0221
1850,-88.5,0.6,0.0211
1850,-88.5,1.9,0.0211
1850,-88.5,3.1,0.0211
1850,-88.5,4.4,0.0211
1850,-88.5,5.6,0.0211
1850,-88.5,6.9,0.0211
1850,-88.5,8.1,0.0211
1850,-88.5,9.4,0.0211
1850,-88.5,10.6,0.0211
1850,-88.5,11.9,0.0211
1850,-88.5,13.1,0.0212
1850,-88.5,14.4,0.0212
1850,-88.5,15.6,0.0212
1850,-88.5,16.9,0.0212
